1,51
2,51
3,51
3,52
3,53
3,54
4,52
4,54
5,52
5,54
5,55
6,52
6,53
6,55
7,53
7,56
7,57
8,53
8,57
9,42
9,43
9,53
9,57
10,40
10,41
10,44
10,45
10,53
10,57
11,36
11,38
11,39
11,45
11,46
11,52
11,53
11,57
12,35
12,36
12,37
12,38
12,47
12,48
12,49
12,50
12,51
12,52
12,57
13,35
13,36
13,37
13,47
13,48
13,57
14,33
14,34
14,35
14,57
15,32
15,57
16,32
16,57
17,31
17,57
18,31
18,34
18,35
18,57
19,30
19,31
19,33
19,36
19,37
19,57
20,30
20,32
20,37
20,38
20,57
21,30
21,33
21,34
21,38
21,57
22,29
22,31
22,32
22,34
22,38
22,57
23,28
23,31
23,33
23,34
23,38
23,57
23,58
24,27
24,28
24,29
24,30
24,31
24,38
24,56
24,57
24,58
24,59
25,19
25,20
25,21
25,22
25,23
25,24
25,27
25,28
25,38
25,56
25,57
25,58
25,59
26,17
26,18
26,24
26,25
26,26
26,27
26,28
26,36
26,37
26,38
26,56
26,59
27,16
27,28
27,33
27,34
27,36
27,37
27,38
27,56
27,58
27,59
28,15
28,29
28,32
28,33
28,34
28,40
28,51
28,52
28,53
28,56
28,58
29,14
29,29
29,32
29,33
29,40
29,41
29,51
29,53
29,56
29,58
30,8
30,9
30,10
30,11
30,12
30,13
30,29
30,32
30,33
30,42
30,43
30,51
30,54
30,56
30,57
31,2
31,3
31,4
31,5
31,6
31,7
31,29
31,32
31,33
31,43
31,49
31,50
31,54
31,56
31,58
32,2
32,28
32,44
32,49
32,50
32,54
32,57
32,58
32,59
33,28
33,32
33,44
33,45
33,51
33,55
33,57
33,58
34,28
34,30
34,31
34,45
34,52
34,53
34,56
35,1
35,2
35,26
35,27
35,45
35,47
35,54
35,57
35,58
36,2
36,3
36,26
36,45
36,46
36,47
36,48
36,54
36,57
36,58
37,3
37,26
37,46
37,48
37,52
37,53
37,57
37,58
38,4
38,5
38,25
38,26
38,46
38,48
38,52
38,57
38,58
39,6
39,23
39,24
39,47
39,48
39,52
39,53
39,56
39,58
40,7
40,8
40,23
40,47
40,48
40,49
40,50
40,51
40,55
40,57
41,8
41,10
41,11
41,22
41,47
41,48
41,49
41,50
41,55
41,56
42,11
42,22
43,11
43,22
43,60
44,12
44,13
44,14
44,15
44,16
44,21
44,60
44,61
45,18
45,22
45,54
45,55
45,56
45,59
45,61
46,18
46,19
46,20
46,53
46,57
46,58
46,62
47,53
47,62
48,53
48,54
48,62
49,55
49,61
50,55
50,61
51,55
51,62
52,56
52,62
53,56
53,62
54,30
54,31
54,57
54,62
55,29
55,32
55,33
55,34
55,35
55,55
55,57
55,62
56,27
56,28
56,36
56,37
56,54
56,55
56,57
56,58
56,62
57,26
57,37
57,54
57,55
57,59
57,62
58,25
58,38
58,39
58,55
58,60
58,61
